review_id,book_title,rating,review_cleaned,processed_text,pos_text,sentiment,sentiment_score
0010653153_1_0,被討厭的勇氣,5.0,我覺得本書是提升人際關係的寶典，也是突破我工作業務關卡的重要關鍵，推薦給全天下所有人都要看的一本書。,我 覺得 本書 提升 人際 關 係 寶 典 突破 我 工作 業務 關卡 重要 關鍵 推薦 全 天下 所有人 看 一本 書,我/r 覺得/v 本書/r 提升/v 人際/n 關/v 係/y 寶/v 典/ng 突破/vn 我/r 工作/vn 業務/n 關卡/n 重要/a 關鍵/n 推薦/v 全/n 天下/s 所有人/n 看/v 一本/m 書/zg,positive,0.99
0010653153_1_1,被討厭的勇氣,5.0,阿德勒心理學是以目的論(現在)，而非決定論(過去)的角度去探討人生課題，不是一昧追究過去怎麼了，而是透過理解當下行為的目的，並決定未來該怎麼辦。想得到自由與幸福，就得做到自立(課題分離:不要在意別人的眼光及評價)及擁有社會意識(接納自我、信任他人、貢獻他人)，人之所以無法前進，往往只是缺乏改變現有生活型態的勇氣而已。-----本書深入淺出的介紹阿德勒的思想，適合讀者理解、消化，靜下心來與自己對話，思考及調整自己的人生。,阿德勒 心理 學是 以 目的 論 現在 非 決定論 過去 角度 去 探討 人生 課題 不是 一昧 追究 過去 透過 理解 當 下行 目的 並 決定 未來 該 辦 想得到 自由 幸福 得 做到 自立 課題 分離 不要 在意 別人 眼光 評價 擁有 社會 意識 接納 自我 信任他人 貢獻 他 人人 無法 前 進 缺乏 改變 現有 生活型 態 勇氣 而已 本書 深入 淺出 介紹 阿德勒 思想 適合 讀者 理解消化 靜下心來 話 思考 調整 人生,阿德勒/nr 心理/n 學是/n 以/p 目的/n 論/v 現在/t 非/h 決定論/n 過去/t 角度/n 去/v 探討/v 人生/n 課題/n 不是/c 一昧/a 追究/v 過去/t 透過/v 理解/v 當/zg 下行/v 目的/n 並/c 決定/v 未來/t 該/r 辦/n 想得到/v 自由/a 幸福/a 得/ud 做到/v 自立/v 課題/n 分離/v 不要/df 在意/v 別人/r 眼光/n 評價/vn 擁有/v 社會/n 意識/n 接納/v 自我/r 信任他人/n 貢獻/n 他/r 人人/n 無法/n 前/f 進/v 缺乏/v 改變/v 現有/v 生活型/n 態/n 勇氣/n 而已/y 本書/r 深入/v 淺出/a 介紹/v 阿德勒/nr 思想/n 適合/v 讀者/n 理解消化/n 靜下心來/l 話/n 思考/v 調整/vn 人生/n,positive,0.89
0010653153_1_2,被討厭的勇氣,5.0,這本書教導我們不必為了討好他人而活，應專注於自己能控制的當下，別在乎別人的眼光，即使你做到自認的完美，還是會有人認為你不夠好，人際煩惱根源在於「渴求認同」，真正的自由是接納平凡、擁有被討厭的勇氣，從而主動選擇幸福。,本書 教導 討好 他人 活應 專注 於 控制 當下 在乎 別人 眼光 你 做到 自認 完美 有人 認為 你 不夠 好人 際 煩惱 根源 於 渴求 認同 真正 自由 接納 平凡 擁有 討厭 勇氣 主動 選擇 幸福,本書/r 教導/n 討好/v 他人/r 活應/vn 專注/v 於/nr 控制/v 當下/s 在乎/v 別人/r 眼光/n 你/r 做到/v 自認/v 完美/a 有人/r 認為/v 你/r 不夠/v 好人/n 際/ng 煩惱/a 根源/n 於/nr 渴求/v 認同/v 真正/d 自由/a 接納/v 平凡/a 擁有/v 討厭/v 勇氣/n 主動/b 選擇/v 幸福/a,positive,0.98
0010653153_1_3,被討厭的勇氣,5.0,《被討厭的勇氣》以阿德勒心理學為核心，提出「課題分離」與「選擇自己的人生」的觀點，顛覆我對人際關係的想像。書中指出，很多痛苦來自過度在意他人眼光，試圖滿足所有人，反而失去自我。真正的自由，是即使被討厭，也願意為自己的價值負責。閱讀後，我開始反思自己在人際互動中的討好行為，學著區分哪些是自己的課題、哪些不必承擔。這本書讓我明白，被討厭並不等於被否定，而是選擇忠於自己的必然結果，也是一種走向成熟與自信的勇氣。,討厭 勇氣 以 阿德勒 心理 學為 核心 提出 課題 分離 選擇 人生 觀點 顛覆 我 人際 關 係 想像 書 中 指出 很多 痛苦 來 自 過度 在意 他人 眼光 試圖 滿足 所有人 失去 自我 真正 自由 討厭 願意 價值 負責 閱讀 後 我 開始 反思 人際 互動 中 討好 行為 學著 區分 哪些 課題 哪些 承擔 本書 我 明白 討厭 並 不 等 於 否定 選擇 忠 於 必然 一種 走向 成熟 自信 勇氣,討厭/v 勇氣/n 以/p 阿德勒/nr 心理/n 學為/v 核心/n 提出/v 課題/n 分離/v 選擇/v 人生/n 觀點/n 顛覆/v 我/r 人際/n 關/v 係/y 想像/v 書/n 中/f 指出/v 很多/m 痛苦/an 來/v 自/p 過度/n 在意/v 他人/r 眼光/n 試圖/v 滿足/v 所有人/n 失去/v 自我/r 真正/d 自由/a 討厭/v 願意/v 價值/n 負責/v 閱讀/v 後/nr 我/r 開始/v 反思/v 人際/n 互動/v 中/f 討好/v 行為/v 學著/v 區分/n 哪些/r 課題/n 哪些/r 承擔/v 本書/r 我/r 明白/nr 討厭/v 並/c 不/d 等/u 於/nr 否定/v 選擇/v 忠/nr 於/nr 必然/d 一種/m 走向/v 成熟/a 自信/v 勇氣/n,negative,0.27
0010653153_1_4,被討厭的勇氣,5.0,十多年前大紅大紫的暢銷書，十多年後我也入手了當年這本書暢銷的盛況我依然記憶深刻，當時只有借來翻閱過然而經過了歲月洗禮後，十多年了我又想起這本書，並且收藏了它！這是一本能夠歷經時間考驗的好書,十多年 前 紅 紫 暢銷 書 十多年 後 我 入手 當年 本書 暢銷 盛況 我 依然 記憶 深刻 當時 借來 翻閱 過 歲 月 洗 禮 後 十多年 我 想起 本書 收藏 一本 能夠 歷經 時間 考驗 書,十多年/m 前/f 紅/a 紫/a 暢銷/v 書/n 十多年/m 後/nr 我/r 入手/v 當年/t 本書/r 暢銷/v 盛況/n 我/r 依然/d 記憶/n 深刻/d 當時/t 借來/v 翻閱/v 過/ug 歲/m 月/m 洗/v 禮/n 後/nr 十多年/m 我/r 想起/v 本書/r 收藏/v 一本/m 能夠/v 歷經/n 時間/n 考驗/vn 書/n,positive,0.9
0010653153_1_5,被討厭的勇氣,4.5,第一次對這本書的印象，是在我新買的書裡面的夾頁，一張介紹暢銷書與新書的DM。那時候我透過這張DM簡單的了解一下這本書的微介紹。當時我看到，阿德勒提出「所有的煩惱都是人際關係的煩惱」以及「目的論」。阿德勒否認所謂過去決定未來的看法，他認為創傷並不存在，你現在是什麼樣子，跟過去發生什麼沒有關係。阿德勒心理學就如同本書作者岸見一郎所言，大部分的人覺得阿德勒的思想雖然用字遣詞並不艱深，但他的觀點幾乎是與一般人所想的不一樣。這就好像從「知道」到「做到」之間橫跨著很多座山，要應用在現實生活非常的需要練習。這本書使用對話的形式，由哲學家與年輕人展開各自觀點的討論過程，少了小說中會有的描述場景、敘述心境等等的文字篇幅，透過年輕人與哲學家一來一往的對談，緊湊的內容，會讓人不自覺就一直想往下看。有時覺得自己就像年輕人那樣會有質疑與不解，有時又能理解哲學家的說法。書中年輕人的人設，是個缺乏自信，有著自卑感，認為自己不夠好，覺得人活著就是要獲得別人的認同才有價值，這樣的角色設定像是濃縮了現在的人或多或少都曾有過的想法，哲學家則運用了阿德勒的觀點，透過與年輕人的對話，引導年輕人找出目前生活困境的答案，彷彿也在帶領讀者找到自己人生裡的解答。—「好像你正透過太陽眼鏡在看這個世界，當然會覺得看到的一切都很昏暗。既然如此，你可以不用感嘆這個世界有多黑暗，只要摘下太陽眼鏡就行了。」,第一次 本書 印象 我 新買 書 裡面 夾頁 一張 介紹 暢銷 書 新書 DM 時候 我 透 過 張 DM 簡單 了解 一下 本書 微 介紹 當時 我 看到 阿德勒 提出 所有 煩惱 人際 關 係 煩 惱 目的 論 阿德勒 否認 過去 決定 未來 看法 他 認為 創傷 並 不 存在 你 現在 樣子 過去 發生 沒 關 係 阿德勒 心理 學 本書 作者 岸 見 一郎 所言 大部分 人 覺得 阿德勒 思想 用字 遣 詞 並 不 艱深 但 他 觀點 一般 人 所 不 知道 做到 之間 橫 跨著 很多 座 山 應用 現實 生活 非常 需要 練習 本書 使用 話 形式 由 哲學家 年 輕 人 展開 各自 觀點 討論 過程 少 小 說 中 描述 場景 敘述 心境 等等 文字 篇幅 透過 年 輕 人 哲學家 一來 一往 對談 緊湊 內容 人 不 自覺 想往 下看 覺得 像 年 輕 人 質疑 不解 理解 哲學家 說 法 書 中年 輕 人 人 設 個 缺乏自信 有著 自卑感 認為 不夠 覺得 人 活著 獲得 別人 認同 才 價值 角色 設定 像是 濃縮 現在 人 或多或少 曾 過 想法 哲學家 則 運用 阿德勒 觀點 透過 年 輕 人 對話 引導 年 輕 人 找出 目前 生活 困境 答案 彷彿 帶 領 讀 者 找到 人生 裡 解答 你 正 透過 太陽 眼鏡 在看 世界 覺得 看到 一切 很 昏暗 既然如此 你 感嘆 世界 黑暗 摘下 太陽 眼鏡 就行了,第一次/m 本書/r 印象/n 我/r 新買/v 書/n 裡面/f 夾頁/n 一張/m 介紹/v 暢銷/v 書/n 新書/n DM/eng 時候/n 我/r 透/v 過/ug 張/q DM/eng 簡單/a 了解/v 一下/m 本書/r 微/d 介紹/v 當時/t 我/r 看到/v 阿德勒/nr 提出/v 所有/b 煩惱/a 人際/n 關/v 係/y 煩/v 惱/v 目的/n 論/x 阿德勒/nr 否認/v 過去/t 決定/v 未來/t 看法/v 他/r 認為/v 創傷/v 並/c 不/d 存在/v 你/r 現在/t 樣子/n 過去/t 發生/v 沒/d 關/v 係/zg 阿德勒/nr 心理/n 學/v 本書/r 作者/n 岸/n 見/v 一郎/m 所言/n 大部分/m 人/n 覺得/v 阿德勒/nr 思想/n 用字/n 遣/vg 詞/n 並/c 不/d 艱深/a 但/c 他/r 觀點/n 一般/a 人/n 所/u 不/d 知道/v 做到/v 之間/f 橫/v 跨著/v 很多/m 座/q 山/n 應用/v 現實/n 生活/vn 非常/d 需要/v 練習/v 本書/r 使用/v 話/n 形式/n 由/p 哲學家/n 年/m 輕/a 人/n 展開/v 各自/r 觀點/n 討論/v 過程/n 少/a 小/a 說/v 中/f 描述/v 場景/n 敘述/v 心境/s 等等/u 文字/n 篇幅/n 透過/v 年/m 輕/a 人/n 哲學家/n 一來/d 一往/d 對談/vn 緊湊/a 內容/n 人/n 不/d 自覺/d 想往/v 下看/v 覺得/v 像/v 年/m 輕/a 人/n 質疑/v 不解/v 理解/v 哲學家/n 說/v 法/j 書/n 中年/t 輕/a 人/n 人/n 設/v 個/q 缺乏自信/i 有著/v 自卑感/n 認為/v 不夠/v 覺得/v 人/n 活著/v 獲得/v 別人/r 認同/v 才/d 價值/n 角色/n 設定/v 像是/v 濃縮/v 現在/t 人/n 或多或少/d 曾/d 過/ug 想法/v 哲學家/n 則/d 運用/v 阿德勒/nr 觀點/n 透過/v 年/m 輕/a 人/n 對話/n 引導/v 年/m 輕/a 人/n 找出/v 目前/t 生活/vn 困境/n 答案/n 彷彿/v 帶/v 領/v 讀/v 者/k 找到/v 人生/n 裡/f 解答/v 你/r 正/d 透過/v 太陽/ns 眼鏡/n 在看/u 世界/n 覺得/v 看到/v 一切/r 很/d 昏暗/a 既然如此/c 你/r 感嘆/v 世界/n 黑暗/z 摘下/v 太陽/ns 眼鏡/n 就行了/l,negative,0.3
0010653153_1_6,被討厭的勇氣,3.0,簡單認為人性是不完美→不滿足→不接受→自卑；卻沒看到人類的真正發展進程是不夠完美→接受事實→努力改變→成功自信,簡單 認為 人性 不 完美 不滿足不 接受 自卑 沒 看到 人類 真正 發展 進程 不夠 完美 接受 事實 努力 改變 成功 自信,簡單/a 認為/v 人性/n 不/d 完美/a 不滿足不/i 接受/v 自卑/n 沒/v 看到/v 人類/n 真正/d 發展/vn 進程/n 不夠/v 完美/a 接受/v 事實/l 努力/ad 改變/v 成功/a 自信/v,negative,0.41
0010653153_1_8,被討厭的勇氣,4.5,這本書看似勵志，實則一記當頭棒喝。以對談形式講阿德勒心理學，讓人重新思考「幸福」與「他人眼光」的關係。讀的過程中會不斷被戳痛——原來我們害怕被討厭，其實是害怕失去控制。它不教你變強，而是教你放下：不迎合、不討好，選擇自己的生活。書關上後，你可能還做不到完全自由，但會開始學著不再為別人的期待活。,本書 看似 勵志實 則 一記 當頭 棒喝 以 談 形式 講 阿德勒 心理 學 人 重新 思考 幸福 他人 眼光 關 係 讀 過 程 中 不 斷 戳 痛 原 來 我 們 害怕 討厭 其實 害怕 失去 控制 不 教 你 變強 教 你 放下 不 迎合 不 討好 選擇 生活 書關 上 後 你 做 不到 完全 自由 但 開始 學著 不再 別人 期待 活,本書/r 看似/v 勵志實/nr 則/d 一記/m 當頭/s 棒喝/v 以/p 談/vn 形式/n 講/zg 阿德勒/nr 心理/n 學/v 人/n 重新/a 思考/v 幸福/a 他人/r 眼光/n 關/v 係/zg 讀/v 過/ug 程/q 中/f 不/d 斷/v 戳/v 痛/a 原/b 來/v 我/r 們/k 害怕/v 討厭/v 其實/d 害怕/v 失去/v 控制/v 不/d 教/v 你/r 變強/v 教/v 你/r 放下/v 不/d 迎合/v 不/d 討好/v 選擇/v 生活/vn 書關/n 上/f 後/nr 你/r 做/v 不到/v 完全/ad 自由/a 但/c 開始/v 學著/v 不再/d 別人/r 期待/v 活/vn,positive,0.52
0010653153_1_9,被討厭的勇氣,5.0,阿德勒心理學猶如灌頂心法貫通任督二脈在人際關係的領域裡是必修的課程還未習得真髓前他人即地獄建議各位不要猶豫阿德勒心理學將引領你擺脫束縛枷鎖,阿德勒 心理 學 灌頂 心法 貫 通任督 二 脈 人際 關 係 領 域 裡 必修 課程 未習 得 真髓 前 他人 即 地獄 建議 各位 不要 猶豫 阿德勒 心理 學將 引領 你 擺脫 束縛 枷鎖,阿德勒/nr 心理/n 學/v 灌頂/n 心法/n 貫/zg 通任督/n 二/m 脈/ng 人際/n 關/v 係/y 領/v 域/ng 裡/m 必修/v 課程/n 未習/v 得/ud 真髓/n 前/f 他人/r 即/v 地獄/n 建議/n 各位/r 不要/df 猶豫/a 阿德勒/nr 心理/n 學將/n 引領/v 你/r 擺脫/v 束縛/vn 枷鎖/n,negative,0.04
0010653153_1_10,被討厭的勇氣,5.0,"第一次閱讀有關""阿德勒心理學""的書籍,深深被這本書的內容吸引!全書採用對話的方式完成,深入淺出,解釋清晰易懂.書本裡對於常看見的概念都有很生動的說明和例子,像是: 課題分離,存在即價值,實現式人生,真正的自由...推薦給想要擁有更幸福人生的朋友!",第一次 閱讀 有關 阿德勒 心理 學 書籍 深深 本書 內容 吸引 全書 採用 話 方式 完成 深入 淺 出 解釋 清晰 易懂 書本 裡 於 常 看見 概念 很 生動 說明 例子 像是 課題 分離 存在 即 價值 實現 式 人生 真正 自由 推薦 想要 擁有 幸福 人生 朋友,第一次/m 閱讀/v 有關/vn 阿德勒/nr 心理/n 學/v 書籍/n 深深/b 本書/r 內容/n 吸引/v 全書/n 採用/v 話/n 方式/n 完成/v 深入/v 淺/a 出/v 解釋/v 清晰/a 易懂/nr 書本/n 裡/f 於/nr 常/d 看見/v 概念/n 很/d 生動/vn 說明/v 例子/n 像是/v 課題/n 分離/v 存在/v 即/v 價值/n 實現/v 式/k 人生/n 真正/d 自由/a 推薦/v 想要/v 擁有/v 幸福/a 人生/n 朋友/n,positive,0.99
