review_id,reviewer_name,rating,review_date,review
0010919211_1_0,寫寫文字-啟弦(福),5.0,2026/04/21,知道 這本書很久了，但直到現在才有機會閱讀這本書，接受書中觀點的洗禮。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀接著學習，如何使用底層邏輯，幫助自己不焦慮，保持心態平靜，觀看這個充滿變動的世界。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀■完全不同的兩個人，是吵不起來的⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀存在序言的一段話，卻引發我的思考，讓我不禁想起，那些所有與人爭執的過往，到底是因為太多不同之處，還是有許多相同之處。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀就像書中提到：「一個做鞋子的幹不掉一個賣水果的，因為他們之間沒有太多相同之處」。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀回想那些與人爭執的情況，確實是因為我們在同一件事上，有著不同的看法，或者是自認為正確的做法，導致溝通出現問題，引發爭吵。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀也就是如果今天一個人，他所在意的議題、所講述的話題、所相處的領域、所投身的興趣，與我沒有任何的相同之處，那就算想吵架，也很難吵得起來。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀從這個角度思考，要是日後在發生爭執時，雙方可以暫停情緒，檢視彼此的立場，也許會發現，你們有太多的相同之處。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀■定力-長期主義⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀在經營自媒體的這段時間裡，可能是因為持續的閱讀、因為日更、因為長時間的發文，因為做了700多集Podcast。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀所以，獲得了一些被看見的機會，進而陸陸續續，有人問我類似的問題：「我是用甚麼樣的方法，被看見與獲得一些機會的呢？」⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀我想了想，我沒有任何方法和捷徑，也不知道要怎麼做，才能更快地被更多人看見，進而獲得更多的機會。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀但我知道，也唯一在做的事情就是行動，持續的行動，即使想要放棄，也堅持著行動。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀讓持續的數量與時間，漸漸替我打開一扇窗，漸漸拓展生活更多的可能性。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀正如前幾天，我在被邀請的線上分享會也提到：「我無法知道持續做，未來究竟會變成什麼樣，但我可以確定的是，如果什麼都不做，那就什麼都沒有」。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀懷抱著長期主義，持續去做，便是我在自媒體經營上，唯一的方法。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀■影響力槓桿⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀要怎麼做，才能提升影響力？⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀關於這個問題，我想不只是我，也有許多人都會對這個問題，充滿興趣。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀因此，當我看見書中，有對於提升影響力的三種能力時，我是欣喜若狂的，以下就做簡單的分享。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀1.演講2.寫作3.建立人脈⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀雖然我還沒有演講的機會與經歷，但透過七百多集Podcast的錄製，和幾次實體與線上的分享會，深深使我體會到，口語表達是多麼重要的能力。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀而這也是我，會繼續錄製Podcast，以及若有機會分享，便會繼續嘗試的原因，哪怕我是I人，不擅長與人交流，但既然這是不可或缺的能力，那麼，我就不能逃避這件事。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀至於寫作，則是我的根本，是我經營自媒體的起源，縱使後來的我，開始嘗試使用聲音，進入Podcast領域，我也不會放下寫作。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀只因若我在訪談上，能夠獲得受訪者與聽眾的肯定，那也是因為寫作對我的幫助，讓我可以大部分沒有訪綱的情況下，順利完成錄製。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀最後的人脈，則是令我驚訝的點，為什麼這麼說呢？⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀因為對於人脈，通常都會認為是認識多少人，和多少人可以幫助我們，而是我們能幫到多少人。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀看到這一點，在讀到後來章節提到的：「人脈的本質是給予價值、平等交換」、「你能為別人創造多大價值，你就有多大價值」、「你能幫到的人，才是你的人脈」。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀就讓人明白，所謂的人脈，不是你以為你認識誰，拍拍照就算你的人脈，而是你是否可以產生價值，能否幫到他人。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀雖然現實，但當我想起過去的一些事情時，我才深刻地明白，平等交換不只能建立良好的人際關係，更能避免自己受到不必要的傷害。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀//////⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀謝謝 時報出版  的這本書，讓我能透過閱讀，學習在這充滿變化的世界，看見世界的底牌，甚至有了不少恍然大悟的感受。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀更重要的是，這本書並不難讀，除了在商業上應用，也能落實於生活，若你有興趣，那這本書，將很適合你一讀。⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀#寫寫文字 #寫寫讀書
0010919211_1_1,螞蟻兒,4.0,2026/04/20,《底層邏輯》這本書主要探討萬事萬物背後都有一套底層邏輯，我們如果能夠辨識這些基本原則、環境變數和系統流程，就能夠在職場和人際關係處於優勢的地位，進而掌握先機，取得長期的成功。作者劉潤是中國著名的商業顧問，潤米諮詢創始人，《5分鐘商學院》主理人，微信公眾號「劉潤」主理人。他曾經在中國微軟工作十幾年，曾任戰略合作總監，熟知大公司的運作邏輯、戰略思維和國際化視野。後來想要做更有影響力的事情，所以就離開微軟去創業，擔任過騰訊、百度、中遠國際、康寶萊等多家知名企業的戰略顧問。在《底層邏輯》一書中作者自承自己每天工作從早上7點到晚上11點。也許周遭的人都認為他是一個工作狂，不過他認為他不過是在「玩」工作，所以才會樂此不疲。「底層邏輯」是在各種變化中不變的原則和道理。在現代資訊科技日新月異，AI取代許多繁瑣工作的科技浪潮下，某些底層邏輯仍然適用於大部分的情況:一、每個理論都有前提和適用範圍。本書舉出不同的經濟學流派當作例子。經濟學理論有分許多流派，例如亞當．斯密所創立的古典經濟學，阿爾弗雷德．馬歇爾為代表的「新古典學派」。古典經濟學認為整個經濟體如何創造與分配財富，商品價值主要來自「勞動投入」，市場會自動調節供需。新古典學派認為個體如何在有限資源下做最優選擇，供需決定價格，如果供過於求價格便會下跌，反之則上漲。其它還有凱因斯學派、新凱因斯學派、奧地利學派、行為經濟學等等。經濟學不像數學公式有著嚴謹的證明，在不同的場合可能會適用不同的經濟學理論和模型。所以在學習這些知識之時，要瞭解每個理論背後的前提和適用範圍，才不會被某個思想框架所綁住。二、想要讓複利效應發揮最大的效用，一開始最重要的就是提高本金。本書提供複利效應的公式如下:本金 x (1 + 收益率)時間 - 欲望 = 財富自由想要達到財富自由，前期要靠本金幫助你資產增長，並且要減少非必要欲望的花費。後期才能夠利用時間享受複利效應帶來的效益。如果一開始本金並不多，就算放再多時間，也難以達到財富自由。三、成功有很大的因素是靠運氣，但是懂得努力對方向，可以提升成功的機率。「努力並不一定會成功」這種道理人盡皆知，但這不是教我們不用努力，而是要努力對方向。作者劉潤認為順應時代的潮流、正確的戰略和模型、良善的企業治理和人才的管理都會影響一家公司或一個人的成敗。尤其是時代的潮流，現在是AI科技不斷迭代更新的時代，AI確實能夠提升處理許多繁複工作的效率。在確保資料安全的前提下，如果因為不想改變或者害怕企業機密外洩，而不肯導入AI應用，那麼很可能被其它競爭者所淘汰。本書還提及一個順應時代潮流的例子。中國的餐飲業隨著外賣平台的興起，所以導致在黃金地段租店面並不是一個良好的選項，因為可能你的租金會吃掉你大部分的獲利。反而利用外賣平台，在較便宜的地段租店面，可以壓低成本，提供更好的餐飲品質。因為你不需要租太大的店面，只需要租廚房夠用的空間就可以了。四、人生商業模式 = 能力 x 效率 x 槓桿。想要取得長期的成功，培養多個專業能力，提升工作效率，透過槓桿將自己的輸出最大化是必要的。為什麼有些人可以在多個領域取得巨大的成功，除了因為他們比其他人還要努力，還有就是懂得努力對方向。．能力: 作者劉潤認為最重要的能力就是「獲得能力的能力」。如何只用2年時間，獲得別人5年的能力? 關鍵之一在於勤奮，例如像作者一天工作16個小時。當然不是每個人都想當工作狂，但至少要能夠熱愛你的工作。除此之外，還要透過不斷「刻意練習」，持續挑戰較困難的任務，讓自己能夠成長。還要總結自己的學習經驗，將這次的經驗活用到下一次挑戰。．效率: 提高效率的方式，可以透過選擇、方法、工具這三個方式來實現。「選擇」即是決定要做哪些事情，以及不做哪些事情。以艾森豪矩陣來說，就是選擇做第二象限「重要但不緊急」的事物，選擇不做第四象限「不重要也不緊急」的事情。「方法」即是用有效率的方式來達成目標。例如每天設定一段不被干擾的時間，用來處理重要的事務; 一次只專心做一件事情，每天專心做三件事情; 不重要的小事只需要做到60分就好，或者委託他人代為執行。「工具」即是利用數位或實體工具，幫助自己整理筆記、思考、規畫、決策、排列工作優先順序。現在使用AI工具來幫助自己提升工作效率，是知識工作者必學的功課。提高工作效率，除了可以提高生產力，還能夠將省下的時間用來做其它的工作，或者自我精進和休息。想要與眾不同，就是要比別人還要快做出成果。．槓桿: 利用團隊槓桿、產品槓桿、資本槓桿、影響力槓桿來幫助自己取得更高的成就。因為一個人的能力、精力和時間有限，所以單打獨鬥難以取得巨大的成功。想要取得更高的成就，就必須善用團隊和人脈的槓桿，讓自己的影響力擴大。「團隊槓桿」指的是複製團隊成功的經驗，擴大自己的公司規模。「產品槓桿」指的是把一次創造的價值，重複賣很多次，讓產出呈倍數放大。像課程、軟體、遊戲等等數位商品，只要製造出來就能夠進行無限次的販賣(但仍需維護)。「資本槓桿」指的是用小錢撬動大資源，讓收益放大。像投資股票常使用的融資、質押、期貨、槓桿ETF等槓桿工具，就是高風險高報酬的投資方式。它們既能夠放大報酬，也能夠放大損失。房貸也是一種資本槓桿，用一部分的自備金向銀行貸款，從而購買高價格的房子。「影響力槓桿」指的是建立自己的品牌和人脈，從而讓自己的影響力擴大。例如透過經營個人平台、演講的方式建立自己的個人流量和人脈，讓自己的思想和商品能夠觸及到更多的人。同時也要懂得經營人脈，透過別人的幫助、推廣和轉介讓自己的影響力擴大。人脈永遠是成功的要素之一，《底層邏輯》這本書提到，所謂的人脈指的不是能夠幫助你的人，而是你能夠幫助的人。如果你能夠證明你對他人有價值，那麼對方自然會願意幫助你。五、在商業世界中，恪守時間是最基本的要求。做好時間管理是成事的要素之一。除了要管理好自己的時間，把時間花在刀口上，同時也要尊重他人的時間。與人有約時，事先要做好各種準備和排演，不隨意遲到、耽擱他人的時間。《底層邏輯》提到「時間的顆粒度」的觀念，時間顆粒愈細的人，時間愈寶貴。像是書中舉出比爾．蓋茲的時間顆粒度大約是5分鐘，就連與人握手也會經過事先的計算，以秒為單位進行程序上的安排。雖然大部分的人時間顆粒度沒那麼細，但是我們可以透過日程表、週計畫表、進度追蹤表或待辦清單來幫助我們聚焦，將時間和精力花在那些真正重要的事物上面。六、想要離開充滿負能量的人或場所，最重要的是讓自己有所成長。像是打拚事業或創業的前期，周遭有許多人不看好你，甚至時常對你冷嘲熱諷，網路上也有許多酸民在酸你。這時候如果你選擇與他人爭辯或周旋，只會把自己搞得身心俱疲。倒不如選擇置之不理或不與爭辯，持續投入事業並做出成果。等到你做出許多令人稱羨的成果，自然會受到許多人的肯定。就算仍然有許多人在酸你，但是時間會給你答案－－我們努力是為了自己，而不是為了獲得他人的認同。當然《底層邏輯》也提到如果對方太過份，甚至有污衊或毀謗的行為，因而損害到自己的品牌和名譽。那就要懂得捍衛自身的權益，必要時可以採取法律途徑維護正義。當你到達一定的高度後，你將會發現周遭的人都是好人。而過去被冷落、被嘲諷的日子彷彿過眼雲煙一般，這也許就是成長的必經過程吧。七、幽默是促進人際關係的圓滑劑。幽默感十足的人，可以促進人際關係，或者在有爭端出現時，能夠化干戈為玉帛。幽默的形式有讓對方感到優越感，故意自嘲，腦筋急轉彎，誇大效果或者雙關語等等。重點就是要根據不同的情境使用不同的方法，如果在嚴肅的場合還在那邊搞笑，只會被旁人翻白眼。想要拉近與旁人之間的距離，還要學會善用比方。將複雜的觀念，用大部分的人都知道的事物當作舉例，或者用大白話的方式來陳述。可以讓對方更快速瞭解你在說什麼，進而能夠對你所說的事物產生共鳴。幽默感和表達能力是要靠不斷練習才能夠累積經驗，這也說明想要促進人際關係，就要不斷地接觸各種人事物，好能夠應對各種不同的情境。八、利潤，來自沒有競爭。在商業市場中，能夠取得先機的，往往能夠取得更多的趨勢紅利，甚至能夠獨佔整個市場。所以比起跟風，跟其它競爭者一起搶食所剩不多的大餅，更重要的是靠創新，創造潛力無窮的藍海市場。更多的利潤，來自沒有競爭的狀態。如果等到其它競爭者爭相模仿自家的產品，那麼趨勢紅利就會慢慢減少，甚至被其它競爭者所取代。因為大公司可以用更好的技術、更好的服務品質和更低的成本，提供更優質或更便宜的產品。想要創新，就要做出具有特色的產品，或者經由跨領域學習來提出前所未有的構想。當然要開發新產品，就要承擔一定的風險和開發的成本，因為你不曉得市場的反應會如何，你也不曉得投入的成本是否能夠在未來回收。有可能你付出了一堆的金錢和心血做開發，但是銷量卻不如預期的。在創新之前，要先想辦法穩固基本的收益，才能有餘力開發新的產品。或者利用最小可行性產品策略(MVP)，先做出小型產品或試作品測試市場反應，再決定要不要繼續開發。九、信用，是一個人最大的資產。信用是擴展人脈和促成合作的最大資產。一個人如果有信用，那麼大家就願意相信他，甚至願意投資他或跟他合作。反之，如果一個人沒有信用，是很難取得他人的信任的。除了信用，像誠實、守時、謙虛、寬恕、正直、負責、善良等等也是一個人重要的資產。品行良好的人或者有獨特魅力的人，自然會吸引許多人跟隨，也比較容易取得長期的成功。雖然說在爾虞我詐的商場，難免要保留一點心機，但是害人之心不可有。如果你能夠真誠地對待他人，那麼大部分的人都會良善地回應你的。【結語】《底層邏輯》這本書雖然說是要教我們看清這個世界的底牌，不過大部分還是在探討成功的基本原則，例如長期主義、提升效率、善用槓桿、做好時間管理、經營好人脈、創新思維等等。至於看透事物或問題的本質，在本文比較沒有提及。本書提出幾個方法以供參考:(1) 利用假設、驗證、結論、調整四步驟來處理未知或難以處理的問題。這有點類似PDCA循環，從不斷地規畫、實踐的過程中學到經驗，並且調整做法，將經驗活用到下一次。(2) 看透事物背後的系統，即各個要素和要素之間的關係，進而針對系統進行改善的工作，可以解決根本的問題。像是作者劉潤舉出他在微軟上班的經驗，公司會提供午餐和晚餐給員工。吃午餐的人比較多，供應商也比較有利潤，因為不見得每個人都會加班。但是有時候午餐反而做得比較糟。之後微軟的解決方式就是引入兩間供應商，一家供應午餐，一家供應晚餐。如果之後喜歡晚餐的人比較多，那就供應商對調。透過不同供應商彼此競爭的關係，讓供餐品質能夠維持一定的水準，這就是針對系統進行改善的方式。(3) 將問題刨根問底，不斷地問為什麼，從而看透問題的本質。像作者劉潤為了證明南北半球排水孔的漩渦方向主要受到環境、水盆結構和手撥動的方向影響，而非科氏力的影響，還特地去赤道和南北極做實驗。雖然有點小題大作，不過這種求真的精神確實是探究問題本質的良好態度。(4) 保持思想的開放性，不會被特定的思想和觀念所侷限，也不會盲信權威人士所說的話。現在主流的思想和觀念可能會在未來被推翻掉，名人所說的話也不一定是正確的。所以要抱持著求真的態度來學習，對萬事萬物抱有好奇心，才能夠看透事物和問題的本質。有時候會從舊有的觀念發現創新的洞見，那就是你的機會所在。方格子|螞蟻兒
0010919211_1_2,波波夫妮,4.0,2026/03/18,試圖拆解複雜世界背後的運作原理，讓人從表象走向本質。多數人只看到結果與現象，卻忽略了背後的邏輯與規則，因此容易在判斷與決策上反覆失誤。所謂底層邏輯，是跨情境都適用的思考方式。當你能理解人性、利益與系統如何運作，就不容易被短期資訊左右，也更能做出長期有效的選擇。真正的差距不在資訊多寡，而在是否看懂本質。當你開始用更高層次的視角思考，世界也會變得更清晰。
0010919211_1_3,Frank,4.5,2026/03/05,或許因為所處國家的環境、文化差異，部分觀點不盡適用於我們，但作者提出了諸多觀點，並透析其中的底層邏輯，也透過故事、範例讓相關的邏輯更淺顯易懂，而確實也有不少觀點使人耳目一新，甚至恍然大悟。本書有許多有利於人情世故、待人接物的章節值得一讀，然而也有部分商業行為模式的章節，我認為更適合生意人、企業家參考。當然一本書的內容不可能每字每句每章每話都令人折服、徹悟，讀者應能汲取有益於自身的知識，並經過自己的思考整理後，轉化為屬於自己的人生哲理。
0010919211_1_4,莉莉普特,4.5,2026/03/01,"在閱讀投資理財書的過程中,發現有土木工程背景的投資者在構建投資價值觀方面擁有優勢.建造的基本是打底,劉潤的書對於投資者而言就像是構建的基本.聯想到霍華.馬克斯在投資最重要的事中提到期望值,感覺就是尋找最優解的公示.過年期間,鴻海董事長提到這本書名.個人心中又有幾個感想:1.一個好的開頭是很重要的.書中舉的例子提供我們對於不同角度的思維.代入不同的角色,從中探討關係者的利益得失判斷.2.基本的架構,就像是數學的四則運算,融會貫通在日常.內化的力量很強大.3.邏輯很重要,它讓人在這多偽世界分辨真實.4.行銷力量大.名人加持.好故事值得擁有.5.千里之行,始於足下.一切都是基本.6.感恩與行善.常在中國小說看到3個有利於:於人於己於社會7.一本長暢書的影響力是很深遠的.物理學上的臨界值相當於現實世界的網絡聲量."
0010919211_1_5,bookhouse,4.0,2026/01/21,"底層邏輯：看清這個世界的底牌""唯有透過「底層邏輯+環境變數」，才能讓你在千變萬化的世界中，認清所有真相！在職場上遇到困難時，人們通常都想別人給自己提供一個最直接的方法去解決問題，換句話說，要一個能使自己可以「盡量無腦執行」的方法。"
0010919211_1_6,小玉Amy Lin,5.0,2026/01/17,"原來可以這樣看事情，年齡已達姐的階段，常會有同仁請教我問題，自認為已講得很清楚，但與對方仍無法達到共頻，感到無奈。而這本書擊中了我，哎呀原來是怎麼一回事。只知道what,卻不知why,就沒有動力。理解了why，才有可能做到知行合一。但知道what,也知道why,這也不夠，還得知道how。How，就是做事的方法和步驟。黃金三問密不可分。常常我們會陷於說我們想的，對方只聽他們理解，事後才恍然大悟，原來他要問這個呀或他再講這個呀。最重要的是這本書還有一個貼心的地方，用圖形將艱深的道理畫出來，讓人很快可以看懂而會心一笑。好久沒有遇到這樣種類的書，開心。"
0010919211_1_7,原味可樂,3.0,2026/01/15,"整體內容介於實用與常識之中,優點是舉了一些名人的例子,說過的話,或是一些故事,來增加書的說服力,整本書翻完坦白說沒什麼記憶點,可能我要翻第二次才會記起來,作者很少敘述他在微軟工作的故事,學到的事,只有點到而已,有點可惜."
0010919211_1_8,RU,5.0,2025/12/03,是一本突破思維盲點的書，很多簡單的思維到底都沒有注意，原來問題的本質非我們所想，藉由這本書可以讓人有新的思維，從不同角度去看事情問題的根本，非常推薦，不僅於商業上使用，日常生活上也能運用。
0010919211_1_9,蛙係揪吉(IG：WACJUG),5.0,2025/11/10,很少有書，讓人一看就驚艷，而且欲罷不能!!這本書我推薦許多人看，也送許多書給其他人，這是一本可以讓自己用不同方式與思維經營自己的人生。底層邏輯1值得您一讀，感受它的魅力。
